id,simTime,predprey,lifespan,RanW,caughtBy,byRanW
16,22.046355962753296,pred,22.229485034942627,True,1,True
17,46.134198904037476,pred,46.30463790893555,True,1,True
18,72.214684009552,pred,72.37151098251343,True,1,True
19,100.27370285987854,pred,100.41787385940552,True,1,True
20,130.38114094734192,pred,130.5125389099121,True,1,True
21,162.4954378604889,pred,162.61456394195557,True,1,True
22,196.60006284713745,pred,196.70698285102844,True,1,True
15,196.60006284713745,prey,0.0,True,1,True
4,216.67120504379272,prey,90.31143712997437,True,26,True
23,228.6944818496704,pred,228.78936100006104,True,1,True
20,240.74925184249878,prey,110.36269998550415,True,24,True
28,260.809396982193,pred,260.84323716163635,True,1,True
14,274.8775899410248,prey,275.0858280658722,True,25,True
27,292.9369549751282,pred,292.98291397094727,True,1,True
18,314.99967885017395,prey,152.50424098968506,False,29,True
15,325.03549003601074,pred,128.42310309410095,False,1,True
12,333.06348490715027,prey,150.50069189071655,True,29,True
26,357.1581828594208,pred,357.21633982658386,True,1,True
8,383.2535288333893,prey,58.21803879737854,True,25,True
14,389.2764549255371,pred,114.3907458782196,False,25,True
6,401.31029295921326,prey,140.50089597702026,True,24,True
3,413.35610604286194,prey,323.1034700870514,True,20,False
4,419.3796830177307,pred,202.7002260684967,False,26,True
18,451.4661920070648,pred,136.45822596549988,False,29,True
14,479.5672619342804,prey,64.2046389579773,False,25,True
29,483.5774669647217,pred,483.5991430282593,True,1,True
8,517.6869568824768,pred,134.42483401298523,True,25,True
10,517.6869568824768,prey,0.0,True,1,True
26,535.7290539741516,prey,126.38733506202698,True,24,True
12,549.7915558815002,pred,216.71988105773926,True,29,False
20,583.9296488761902,pred,343.17212295532227,False,24,True
4,583.9296488761902,prey,130.46315789222717,False,26,False
3,618.0524790287018,pred,204.68777799606323,False,20,False
19,618.0524790287018,prey,311.07642698287964,False,1,True
28,638.1105208396912,prey,377.2955148220062,False,19,False
11,640.1217448711395,prey,443.5216820240021,True,19,False
1,640.1217448711395,prey,228.77253484725952,True,19,False
2,642.1296389102936,prey,521.790708065033,True,6,False
0,644.1325249671936,prey,513.7513840198517,True,6,False
14,644.1325249671936,pred,164.55677914619446,False,25,True
15,650.1581819057465,prey,260.88172698020935,False,25,True
27,656.1723399162292,prey,134.48163294792175,False,4,False
20,660.1949570178986,prey,76.25958514213562,False,1,True
10,664.2166030406952,pred,146.51771807670593,False,1,True
23,680.2889750003815,prey,162.60201811790466,False,27,False
19,684.2990689277649,pred,66.23439693450928,False,1,True
28,706.3683259487152,pred,68.24916505813599,False,19,True
22,712.3819060325623,prey,515.7763121128082,False,15,False
5,718.4014990329742,prey,168.609943151474,True,24,True
11,726.4200630187988,pred,86.28998517990112,True,19,True
7,738.4447159767151,prey,507.74104404449463,True,4,False
3,746.4595890045166,prey,88.27727198600769,False,4,False
2,746.4595890045166,pred,104.32174015045166,True,6,False
6,766.5403020381927,pred,365.2218511104584,False,24,True
14,778.5865259170532,prey,120.40420889854431,False,26,False
25,786.6085469722748,pred,786.6791801452637,True,1,True
29,802.6687870025635,prey,252.87723112106323,False,5,False
1,806.6793079376221,pred,166.54000902175903,True,19,True
18,824.7275478839874,prey,274.9359920024872,False,27,False
20,826.7328219413757,pred,166.52939295768738,False,1,True
22,848.7926459312439,pred,136.40228509902954,True,15,False
24,872.8672330379486,pred,872.9499900341034,True,1,True
12,892.937826871872,prey,343.1408648490906,True,23,False
15,896.9407579898834,pred,246.7743501663208,False,25,False
