id,simTime,position,angle,predprey,tag,otherID,immCheck,RanW,closestAlly
0,2.0008959770202637,[ 8.77650585 -0.67855658  0.08280764],-1.4836325126638805,prey,1,28,False,True,11
1,2.0008959770202637,[ 3.29102188 -1.47496176  0.08247384],-1.5130052172275557,prey,1,20,False,True,11
2,2.0008959770202637,[-5.18189928 -6.5001376   0.08306072],-1.477441167842696,prey,1,27,False,True,4
3,2.0008959770202637,[-7.36937296 -5.02582408  0.08277148],-1.4840432905333036,prey,1,22,False,True,4
4,2.0008959770202637,[-1.5393875  -8.01789998  0.08050185],-1.4579071073756456,prey,1,27,True,True,11
5,2.0008959770202637,[-8.88637693  4.91397893  0.08280717],-1.4855647305454565,prey,1,21,True,True,14
6,2.0008959770202637,[ 7.03222422 -3.71827363  0.08295463],-1.4853122473181846,prey,1,28,False,True,11
7,2.0008959770202637,[-1.79663375  7.62912332  0.08287568],-1.4852202548721198,prey,1,16,False,True,14
8,2.0008959770202637,[-1.8076856  -0.21124364  0.08288878],-1.4859839342018017,prey,1,21,False,True,4
9,2.0008959770202637,[-7.78206883  0.08690585  0.08281374],-1.4857093969724504,prey,1,22,False,True,5
10,2.0008959770202637,[ 3.8106497  -3.96013058  0.08265648],-1.3359953835465683,prey,1,28,False,True,11
11,2.0008959770202637,[-0.69395743 -7.94600417  0.08271852],-1.4852228593809467,prey,1,27,True,True,4
12,2.0008959770202637,[1.8734922  3.66137961 0.08271176],-1.484953285583019,prey,1,17,False,True,14
13,2.0008959770202637,[-8.60973363 -0.37829613  0.08293119],-1.294853822216872,prey,1,22,False,True,5
14,2.0008959770202637,[-7.4478048   8.60082842  0.08284755],-1.544966826083961,prey,1,26,True,True,5
15,2.0008959770202637,[-1.19527442 -0.0530934   0.08256157],-1.4392771380313565,prey,1,21,False,True,11
16,2.0008959770202637,[-0.14227594  7.72809275  0.09824976],-1.2650926817983927,pred,1,14,True,True,1
17,2.0008959770202637,[2.53580283 4.07093809 0.08281345],-1.485319353848933,pred,1,14,True,True,1
18,2.0008959770202637,[1.6276331  0.33198176 0.08072197],-1.1407359772964623,pred,1,11,True,True,1
19,2.0008959770202637,[5.75682578 5.98312018 0.0831526 ],-1.4875275630841744,pred,1,14,True,True,1
20,2.0008959770202637,[1.71680351 0.28413835 0.1171005 ],-1.1182879271068957,pred,1,11,True,True,1
21,2.0008959770202637,[-1.58883478  0.18973465  0.08283853],-1.483420144955479,pred,1,11,True,True,1
22,2.0008959770202637,[-7.9442329  -4.23811497  0.08267853],-1.294558863511602,pred,1,4,True,True,1
23,2.0008959770202637,[5.41653863 7.75253502 0.08288827],-1.486348745315445,pred,1,14,True,True,1
24,2.0008959770202637,[-8.81630848 -8.66942629  0.08252169],-1.1443577392490396,pred,1,4,True,True,1
25,2.0008959770202637,[7.75554823 6.17889458 0.08272363],-1.4843044120723556,pred,1,14,True,True,1
26,2.0008959770202637,[-0.15882405  7.98360081  0.07543781],-1.425633357311257,pred,1,14,True,True,1
27,2.0008959770202637,[-4.49051823 -3.34614828  0.08280918],-1.4833080666904184,pred,1,4,True,True,1
28,2.0008959770202637,[ 7.96239588 -2.97916034  0.0828757 ],-1.486536506212072,pred,1,11,True,True,1
29,2.0008959770202637,[ 8.62033098 -6.48999653  0.08285432],-1.4837532678360525,pred,1,11,True,True,1
0,4.006867170333862,[ 8.71769082 -0.80898472  0.03338694],-1.3987451151413126,prey,1,28,False,True,11
1,4.006867170333862,[ 3.23753897 -1.60375372  0.03205616],-1.4081386070317399,prey,1,20,False,True,11
2,4.006867170333862,[-5.20539684 -6.60521136  0.03062037],-1.5890061157416975,prey,1,27,False,True,4
3,4.006867170333862,[-7.42650339 -5.14768025  0.03306476],-1.377343536665684,prey,1,22,False,True,4
4,4.006867170333862,[-1.60379613 -8.13021722  0.03265691],-1.3562818909892551,prey,1,27,True,True,11
5,4.006867170333862,[-8.90740355  4.80002518  0.03063026],-1.652838349660313,prey,1,21,True,True,14
6,4.006867170333862,[ 6.99673382 -3.83825714  0.03388248],-1.331665370732448,prey,1,28,False,True,11
7,4.006867170333862,[-1.85131939  7.51155902  0.03087931],-1.370445497860833,prey,1,16,False,True,14
8,4.006867170333862,[-1.83755325 -0.33140583  0.03040663],-1.6490439388887834,prey,1,21,False,True,4
9,4.006867170333862,[-7.80619657 -0.02646602  0.03061462],-1.6359918884218296,prey,1,22,False,True,5
10,4.006867170333862,[ 3.75320067 -4.07970294  0.03252475],-1.276598215718443,prey,1,28,False,True,11
11,4.006867170333862,[-0.72136976 -8.06507335  0.03043291],-1.6385661464051122,prey,1,27,True,True,4
12,4.006867170333862,[1.81344188 3.5313561  0.03410027],-1.3835155987390269,prey,1,17,False,True,14
13,4.006867170333862,[-8.65951988 -0.48558524  0.03066531],-1.4782731561230624,prey,1,22,False,True,5
14,4.006867170333862,[-7.4799696   8.48720545  0.03025644],-1.6391595945014572,prey,1,26,True,True,5
15,4.006867170333862,[-1.21780502 -0.16946712  0.03039353],-1.5886801066700955,prey,1,21,False,True,11
16,4.006867170333862,[-0.18810076  7.61296898  0.03058398],-1.3919737791183941,pred,1,14,True,True,1
17,4.006867170333862,[2.47022958 3.94808012 0.03360264],-1.4107327932308869,pred,1,14,True,True,1
18,4.006867170333862,[1.5685205  0.25475944 0.0303612 ],-1.3830912320540196,pred,1,11,True,True,1
19,4.006867170333862,[5.70216341 5.85805276 0.0309117 ],-1.38783176306486,pred,1,14,True,True,1
20,4.006867170333862,[1.67382867 0.24394122 0.08597181],-1.2235964489409228,pred,1,11,True,True,1
