id,simTime,predprey,lifespan,RanW,caughtBy,byRanW
16,22.05911898612976,pred,22.245038986206055,True,1,True
17,46.141043186187744,pred,46.31434416770935,True,1,True
18,72.23457407951355,pred,72.39518809318542,True,1,True
19,100.33460307121277,pred,100.48263192176819,True,1,True
20,130.39310598373413,pred,130.52869081497192,True,1,True
21,162.48926711082458,pred,162.61239194869995,True,1,True
22,196.617094039917,pred,196.72743105888367,True,1,True
22,196.617094039917,prey,-0.005759000778198242,True,1,True
23,230.75496196746826,pred,230.85277891159058,True,1,True
11,230.75496196746826,prey,0.0,True,1,True
24,264.8792510032654,pred,264.96449995040894,True,1,True
5,264.8792510032654,prey,0.0,True,1,True
27,299.00929617881775,pred,299.05664920806885,True,1,True
10,299.00929617881775,prey,0.0,True,1,True
25,333.1312611103058,pred,333.2038791179657,True,1,True
24,333.1312611103058,prey,0.0,False,1,True
26,367.2500669956207,pred,367.3100390434265,True,1,True
16,367.2500669956207,prey,0.0,True,1,True
6,383.29439902305603,prey,94.33102703094482,True,11,False
19,383.29439902305603,prey,58.18728494644165,False,24,False
28,397.31901717185974,pred,397.35382604599,True,1,True
4,399.3231270313263,prey,272.93287992477417,True,5,False
22,427.44778203964233,pred,230.8169379234314,True,1,True
20,439.48272609710693,prey,309.0840609073639,True,5,False
10,457.5326249599457,pred,158.51153683662415,False,1,True
1,463.552668094635,prey,266.935574054718,True,4,False
17,481.61946415901184,prey,188.63930916786194,True,4,False
16,485.62788796424866,pred,118.36630582809448,True,1,False
12,493.65336513519287,prey,303.0585150718689,True,29,True
11,513.7096199989319,pred,282.94173192977905,False,1,False
6,543.8220100402832,pred,160.51954698562622,False,11,False
10,549.8515751361847,prey,92.31342005729675,False,4,False
16,571.9326550960541,prey,86.2992799282074,False,5,False
24,571.9326550960541,pred,238.78933191299438,False,1,False
19,602.0545091629028,pred,218.7428960800171,False,24,False
20,634.160973072052,pred,194.66993188858032,False,5,False
25,646.211088180542,prey,136.5224552154541,False,12,True
1,666.2743389606476,pred,202.71331095695496,False,4,False
17,700.3853871822357,pred,218.75767922401428,True,4,False
24,700.3853871822357,prey,0.0,False,1,False
29,734.481379032135,pred,734.5034110546112,True,1,False
6,734.481379032135,prey,190.6537790298462,False,11,False
13,736.4881670475006,prey,192.6661570072174,True,5,False
22,754.5542080402374,prey,299.0232570171356,True,6,False
15,756.55814909935,prey,525.8031871318817,True,25,True
4,762.5746991634369,pred,363.2434091567993,False,5,False
16,792.7184331417084,pred,220.77730512619019,True,5,False
10,824.8609790802002,pred,275.0013630390167,False,4,False
18,828.8781759738922,prey,654.336259841919,False,15,False
21,848.9165999889374,prey,652.2995059490204,True,18,False
26,850.9326841831207,prey,250.88658213615417,True,24,False
12,852.9327771663666,pred,359.2712481021881,True,29,False
13,883.0186061859131,pred,146.52205300331116,True,5,False
11,889.0382561683655,prey,345.2162461280823,False,22,False
10,913.1090121269226,prey,88.24257206916809,True,5,False
6,913.1090121269226,pred,178.61584401130676,False,11,False
18,943.225200176239,pred,114.33816814422607,False,15,False
19,969.3152711391449,prey,276.9554810523987,False,5,False
13,971.3157651424408,prey,58.20675301551819,False,22,False
25,971.3157651424408,pred,325.09621810913086,True,12,False
24,1001.4083750247955,pred,301.01106905937195,False,1,False
26,1033.5267961025238,pred,182.58327102661133,False,24,False
11,1067.650689125061,pred,178.6041259765625,False,22,False
28,1067.650689125061,prey,580.0198650360107,False,1,False
6,1083.7063550949097,prey,170.58278393745422,True,21,False
15,1099.7518060207367,pred,343.18466806411743,False,25,False
20,1103.763520002365,prey,311.04508686065674,False,10,False
23,1127.830316066742,prey,802.7232019901276,False,28,False
22,1129.8348200321198,pred,375.2724099159241,False,6,False
14,1147.9213461875916,prey,1148.132252216339,True,23,False
2,1151.9233231544495,prey,517.7623500823975,True,20,False
13,1157.937786102295,pred,186.61376905441284,False,22,False
17,1171.9748311042786,prey,379.2563979625702,False,20,False
6,1186.0083360671997,pred,102.29354691505432,False,21,False
1,1208.0890250205994,prey,296.98916888237,False,21,False
10,1214.1193640232086,pred,301.0019130706787,False,5,False
3,1224.1422109603882,prey,1099.7556638717651,True,2,False
27,1226.1522860527039,prey,453.506875038147,False,2,False
0,1230.1658489704132,prey,447.4688148498535,True,2,False
29,1232.1704211235046,prey,132.41861510276794,False,19,False
28,1236.1872491836548,pred,168.52475118637085,False,1,False
23,1260.2604041099548,pred,132.42132806777954,False,28,False
8,1278.3201839923859,prey,1045.5536468029022,True,14,False
1,1284.3401980400085,pred,76.24282693862915,False,21,False
12,1296.3879370689392,prey,443.4497380256653,False,2,False
16,1298.3895139694214,prey,419.3836019039154,True,2,False
5,1306.4184720516205,pred,1041.527466058731,False,1,False
20,1330.4905769824982,pred,226.71862983703613,False,10,False
11,1350.5696880817413,prey,192.6319019794464,True,14,False
17,1354.5767011642456,pred,182.59373998641968,False,20,True
0,1380.6547691822052,pred,150.48126816749573,True,2,False
1,1388.6750841140747,prey,104.32903099060059,False,12,True
2,1406.7439441680908,pred,254.81241106987,False,20,True
22,1408.7562539577484,prey,250.8184678554535,False,19,False
