id,simTime,predprey,lifespan,RanW,caughtBy,byRanW
16,22.077672004699707,pred,22.257109880447388,True,1,True
17,46.1507830619812,pred,46.31807088851929,True,1,True
18,72.23399019241333,pred,72.38914108276367,True,1,True
19,100.31483006477356,pred,100.45739197731018,True,1,True
20,130.4113039970398,pred,130.5415678024292,True,1,True
21,162.4955291748047,pred,162.6137180328369,True,1,True
3,186.57523918151855,prey,100.29746699333191,True,27,True
22,194.5952751636505,pred,194.70139718055725,True,1,True
23,228.7070951461792,pred,228.80121302604675,True,1,True
11,228.7070951461792,prey,0.0,True,1,True
25,262.8398640155792,pred,262.90993189811707,True,1,True
23,262.8398640155792,prey,0.0,False,1,True
24,296.99030900001526,pred,297.0723969936371,True,1,True
6,296.99030900001526,prey,102.39503383636475,True,1,True
26,331.13255500793457,pred,331.1906759738922,True,1,True
25,331.13255500793457,prey,0.0,True,1,True
3,365.24924516677856,pred,178.66523218154907,True,27,True
1,365.24924516677856,prey,26.10174012184143,True,1,True
21,377.2849051952362,prey,122.48532605171204,True,28,True
29,397.354474067688,pred,397.3761739730835,True,1,False
7,405.3756511211395,prey,210.780375957489,True,27,True
6,429.4452660083771,pred,132.44173288345337,True,1,False
25,463.57975816726685,pred,132.4329869747162,False,1,False
0,463.57975816726685,prey,176.63695907592773,True,1,False
11,497.7263560295105,pred,269.00754284858704,True,1,False
24,497.7263560295105,prey,200.73004698753357,True,1,False
17,525.7947239875793,prey,321.15900778770447,False,23,False
1,529.8104581832886,pred,164.54935097694397,False,1,False
19,535.8359100818634,prey,435.5155210494995,False,0,False
20,549.9004051685333,prey,152.54593110084534,True,27,True
2,557.9391531944275,prey,128.49388718605042,True,27,True
29,557.9391531944275,prey,128.49388718605042,False,27,True
21,557.9391531944275,pred,180.64614009857178,True,28,True
3,561.9553210735321,prey,196.7007339000702,True,19,True
28,584.0337941646576,pred,584.0678570270538,True,1,True
7,612.1539561748505,pred,206.76929306983948,True,27,True
4,624.1810901165009,prey,216.7986180782318,True,17,True
8,632.1974930763245,prey,214.79027605056763,True,27,True
24,638.2207820415497,pred,140.4823079109192,False,1,True
15,666.3542790412903,prey,208.80501890182495,True,27,True
23,666.3542790412903,pred,403.5026488304138,False,1,True
0,694.4646949768066,pred,230.87298679351807,False,1,True
2,724.5679161548615,pred,166.62058901786804,False,27,True
17,756.6778781414032,pred,230.87416696548462,True,23,False
20,790.8233830928802,pred,240.9147880077362,True,27,True
2,790.8233830928802,prey,0.0,False,27,True
28,808.8755750656128,prey,130.47722101211548,False,3,False
19,822.90576004982,pred,287.0609118938446,True,0,False
12,826.9228601455688,prey,754.6888699531555,True,8,True
6,830.9413449764252,prey,218.7873888015747,False,27,True
4,853.0180630683899,pred,228.82743191719055,False,17,False
18,881.0836360454559,prey,315.10862398147583,True,29,False
15,883.0932641029358,pred,216.72996592521667,False,27,True
14,895.1305391788483,prey,138.45266103744507,True,2,False
13,901.1656560897827,prey,104.32952904701233,True,18,False
28,911.1926300525665,pred,102.30829787254333,False,3,False
7,937.2694261074066,prey,325.10815811157227,False,27,True
8,939.2756869792938,pred,307.0681028366089,True,27,True
12,969.3922100067139,pred,142.4602918624878,True,8,False
22,981.4251160621643,prey,317.0840759277344,False,6,False
23,983.4356081485748,prey,142.46569895744324,False,3,False
9,985.4420011043549,prey,359.25923109054565,True,3,False
29,995.4795219898224,pred,437.5227518081665,False,27,True
16,1005.5062551498413,prey,738.6516230106354,False,9,True
14,1021.5653860569,pred,126.42553806304932,False,2,False
4,1023.5766751766205,prey,170.55242109298706,False,3,False
21,1031.611592054367,prey,178.59352898597717,False,18,False
25,1045.6522471904755,prey,76.2600371837616,False,13,False
27,1045.6522471904755,pred,1045.6983060836792,True,1,True
12,1065.7063851356506,prey,96.30870604515076,True,25,False
2,1067.7168719768524,pred,276.87999081611633,False,27,True
26,1073.742583990097,prey,656.3353669643402,False,3,False
17,1081.785052061081,prey,228.76698899269104,False,18,False
22,1087.8119390010834,pred,106.37872099876404,True,6,False
11,1093.8353731632233,prey,427.481094121933,False,26,False
7,1107.8833720684052,pred,170.60513496398926,False,27,True
6,1129.9606540203094,pred,299.00913882255554,False,27,True
23,1154.0330832004547,pred,170.5892791748047,False,3,False
9,1180.0874361991882,pred,194.63683414459229,True,3,False
16,1208.1620690822601,pred,202.6473240852356,False,9,True
5,1210.1717901229858,prey,981.4646949768066,True,3,False
21,1236.2293751239777,pred,204.60972809791565,True,18,False
15,1248.2826051712036,prey,278.89039516448975,False,12,False
13,1264.327516078949,pred,363.1517550945282,False,18,False
18,1294.4339981079102,pred,413.34030199050903,False,29,False
2,1318.5176010131836,prey,64.21883082389832,False,5,False
29,1318.5176010131836,prey,82.28822588920593,False,17,False
4,1322.5293490886688,pred,298.9441239833832,False,3,False
10,1350.595736026764,prey,1121.8886408805847,True,25,False
11,1350.595736026764,pred,256.7523159980774,True,26,False
26,1380.7103581428528,pred,306.9593720436096,False,3,False
15,1412.7785501480103,pred,164.48739004135132,True,12,False
2,1446.870866060257,pred,128.3451910018921,True,5,False
24,1446.870866060257,prey,698.2132759094238,False,1,True
9,1452.9021592140198,prey,244.74009013175964,True,3,False
23,1470.9578740596771,prey,240.73962807655334,False,3,False
12,1476.9907701015472,pred,411.27631402015686,False,25,False
16,1481.002853155136,prey,272.8351900577545,False,3,False
18,1487.0120451450348,prey,164.48269605636597,False,10,False
29,1505.0599482059479,pred,186.52490711212158,False,17,False
