id,simTime,predprey,lifespan,RanW,caughtBy,byRanW
16,22.07430100440979,pred,22.250718116760254,True,1,True
17,46.159343004226685,pred,46.32397413253784,True,1,True
18,72.25821304321289,pred,72.41100811958313,True,1,True
19,100.33335208892822,pred,100.47432804107666,True,1,True
17,106.3473539352417,prey,60.182502031326294,True,24,True
0,124.4154040813446,prey,74.24105310440063,True,21,True
20,126.42623901367188,pred,126.55541610717773,True,1,True
22,154.52732586860657,pred,154.6327259540558,True,1,True
12,158.53779888153076,prey,48.169920921325684,True,17,False
5,174.58038806915283,prey,86.27746605873108,True,17,False
23,180.59113001823425,pred,180.6847710609436,True,1,True
9,204.66771602630615,prey,104.33436393737793,True,17,False
25,206.67463088035583,pred,206.7446370124817,True,1,True
18,220.71405386924744,prey,120.38070178031921,True,17,False
14,226.73274898529053,prey,180.57340598106384,True,21,True
26,230.74511909484863,pred,230.80322408676147,True,1,True
27,256.8383090496063,pred,256.8842489719391,True,1,True
19,268.8743200302124,prey,136.421471118927,False,5,True
29,282.921236038208,pred,282.94287109375,True,1,True
24,311.0220100879669,pred,311.10383105278015,True,1,True
0,341.121994972229,pred,216.69819498062134,False,21,True
6,353.1844730377197,prey,333.1171660423279,True,28,True
15,365.22480607032776,prey,327.0936350822449,True,28,True
12,369.2405159473419,pred,210.6947729587555,True,17,False
2,381.29235005378723,prey,220.74506306648254,True,28,True
17,397.3254919052124,pred,290.96952390670776,False,24,True
18,427.3736388683319,pred,206.65141487121582,True,17,True
22,451.43738889694214,prey,220.6922698020935,False,9,False
21,457.4568099975586,pred,457.5742030143738,True,1,True
14,489.56039094924927,pred,262.8194019794464,False,21,False
1,493.5723569393158,prey,210.6511209011078,True,5,True
7,517.6491920948029,prey,286.9040729999542,True,5,True
26,519.6559009552002,prey,288.90525007247925,True,5,True
6,519.6559009552002,pred,166.46284794807434,False,28,True
15,549.7690758705139,pred,184.53629279136658,True,28,True
25,565.808846950531,prey,337.0740818977356,True,22,True
19,579.8701050281525,pred,310.98765802383423,False,5,True
28,611.9796760082245,pred,612.013384103775,True,1,False
9,646.1054060459137,pred,441.4293601512909,False,17,True
0,646.1054060459137,prey,0.0,False,21,False
10,650.1267220973969,prey,182.6376850605011,True,5,True
6,658.1607880592346,prey,138.49015998840332,False,2,False
1,676.2147378921509,pred,182.6340458393097,False,5,True
7,708.3403539657593,pred,190.68267107009888,False,5,True
26,742.4591090679169,pred,222.79495215415955,False,5,True
7,742.4591090679169,prey,0.0,False,5,True
15,774.5775909423828,prey,224.80280303955078,False,2,False
25,774.5775909423828,pred,208.76046895980835,False,22,True
20,806.7256140708923,prey,523.8043780326843,False,5,True
22,806.7256140708923,pred,355.2797920703888,True,9,False
27,808.7305450439453,prey,525.8093090057373,True,5,True
6,838.8343389034271,pred,180.6643009185791,False,2,False
8,854.8831300735474,prey,600.0488970279694,True,5,True
0,870.9386389255524,pred,224.82137989997864,False,21,False
11,882.9804739952087,prey,76.2548599243164,True,10,True
7,903.0323350429535,pred,160.56151700019836,True,5,True
9,907.0485889911652,prey,100.32297492027283,False,10,True
22,909.0522360801697,prey,102.31196713447571,False,10,True
23,913.0607628822327,prey,602.0387527942657,True,2,False
16,915.0670320987701,prey,632.1457960605621,True,2,False
25,929.1180958747864,prey,122.39248180389404,True,10,True
15,929.1180958747864,pred,154.53118586540222,False,2,False
4,955.2123749256134,prey,794.6650879383087,True,5,True
20,955.2123749256134,pred,148.47854685783386,False,5,True
8,981.300577878952,pred,126.40878200531006,False,5,True
19,1005.3807759284973,prey,198.65516185760498,True,27,False
11,1007.3863608837128,pred,124.3975658416748,False,10,True
18,1013.406632900238,prey,238.82904195785522,True,10,True
9,1033.4968118667603,pred,126.4399139881134,False,10,True
2,1061.6043648719788,pred,680.3035578727722,False,28,False
3,1085.69974899292,prey,985.3663969039917,True,5,True
16,1089.722018957138,pred,174.64560103416443,False,2,False
23,1119.8329710960388,pred,206.7620871067047,False,2,False
25,1151.939877986908,pred,222.8132770061493,False,10,True
26,1166.004966020584,prey,158.61860513687134,False,4,False
7,1168.0074880123138,prey,160.62112712860107,True,4,False
27,1182.0605080127716,pred,373.3210039138794,False,5,True
19,1214.1788520812988,pred,208.7899022102356,True,27,False
10,1248.2803070545197,pred,598.1452171802521,True,5,True
25,1248.2803070545197,prey,0.0,False,10,False
18,1282.3974778652191,pred,268.9825527667999,False,10,False
20,1282.3974778652191,prey,94.32155680656433,False,5,True
22,1316.5236639976501,pred,407.4635519981384,True,10,False
0,1316.5236639976501,prey,445.57943511009216,False,21,False
24,1336.5939519405365,prey,465.65531301498413,True,0,False
5,1348.6347889900208,pred,1174.0464279651642,True,17,True
3,1382.7672159671783,pred,297.05906891822815,False,5,True
22,1382.7672159671783,prey,44.166574001312256,False,10,False
26,1416.8909039497375,pred,250.87676405906677,True,4,False
28,1416.8909039497375,prey,688.4722299575806,False,1,False
4,1451.030639886856,pred,495.8103578090668,False,5,True
8,1451.030639886856,prey,84.31927180290222,False,5,True
12,1459.0574650764465,prey,1041.7028131484985,False,28,False
3,1469.0929958820343,prey,86.32009983062744,False,7,True
5,1471.1058900356293,prey,86.32317304611206,True,8,False
20,1479.127063035965,pred,196.71783304214478,False,5,False
19,1491.1765558719635,prey,142.54176688194275,False,5,False
0,1507.2374958992004,pred,190.70204091072083,False,21,False
24,1537.3515169620514,pred,200.7494659423828,True,0,True
28,1569.4440109729767,pred,152.54133987426758,False,1,False
12,1603.5392138957977,pred,144.4733588695526,True,28,False
6,1603.5392138957977,prey,732.6005749702454,False,2,False
10,1623.5868129730225,prey,222.75290203094482,False,6,False
7,1635.6395690441132,pred,467.6236951351166,True,4,False
3,1669.752606868744,pred,200.6511709690094,False,7,True
11,1669.752606868744,prey,204.66773581504822,False,10,True
