id,simTime,predprey,lifespan,RanW,caughtBy,byRanW
16,22.06327509880066,pred,22.242741107940674,True,1,True
17,46.15038299560547,pred,46.31773090362549,True,1,True
19,72.24301290512085,pred,72.38593077659607,True,1,True
21,100.33096504211426,pred,100.44984292984009,True,1,True
20,130.43281292915344,pred,130.56363892555237,True,1,True
22,162.52711606025696,pred,162.63371515274048,True,1,True
18,196.6576120853424,pred,196.81270098686218,True,1,True
22,196.6576120853424,prey,34.12512016296387,True,1,True
23,230.77043294906616,pred,230.86500096321106,True,1,True
14,230.77043294906616,prey,0.0,True,1,True
25,264.8877670764923,pred,264.9577531814575,True,1,True
0,264.8877670764923,prey,132.44724106788635,True,1,True
18,298.99550008773804,prey,96.333487033844,False,22,False
26,298.99550008773804,pred,299.0533971786499,True,1,True
9,311.0317270755768,prey,311.2965040206909,True,24,True
27,331.1104578971863,pred,331.15623688697815,True,1,True
28,365.22984194755554,pred,365.2635838985443,True,1,True
5,365.22984194755554,prey,0.0,True,1,True
29,399.34507393836975,pred,399.366819858551,True,1,True
4,399.34507393836975,prey,0.0,True,1,True
14,433.45119309425354,pred,202.66644096374512,True,1,True
10,433.45119309425354,prey,202.68076014518738,True,1,True
22,467.60530710220337,pred,270.9354841709137,False,1,True
20,467.60530710220337,prey,0.0,False,1,True
0,501.7045109272003,pred,236.80271887779236,False,1,True
23,501.7045109272003,prey,270.92792892456055,False,1,True
5,535.8235518932343,pred,170.58172583580017,False,1,True
19,535.8235518932343,prey,461.57874393463135,False,1,True
8,551.8749089241028,prey,146.51523780822754,True,18,True
28,559.9088230133057,prey,118.42206597328186,False,19,False
4,565.9395670890808,pred,166.582661151886,True,1,True
10,598.043613910675,pred,164.58022379875183,False,1,True
20,632.1648108959198,pred,164.54738688468933,False,1,True
6,632.1648108959198,prey,246.86612391471863,True,1,True
15,652.245353937149,prey,652.4370489120483,True,6,False
26,658.2638099193573,prey,238.86273789405823,False,24,True
23,662.2684791088104,pred,160.55176901817322,False,1,True
3,670.307914018631,prey,439.5374810695648,True,24,True
1,672.3190479278564,prey,441.5486149787903,True,15,False
2,674.3302221298218,prey,443.5597891807556,True,15,False
18,688.3665249347687,pred,389.3616569042206,True,22,False
21,690.3688530921936,prey,543.8881931304932,True,9,False
11,696.3968660831451,prey,130.45729899406433,True,9,False
8,712.4333999156952,pred,160.54972100257874,False,18,False
19,738.4983780384064,pred,202.66268110275269,False,1,False
6,766.6006810665131,pred,134.4236831665039,False,1,False
27,772.6306219100952,prey,441.51430201530457,True,3,True
28,794.7007970809937,pred,234.78337216377258,False,19,True
24,824.8158240318298,pred,824.8983030319214,True,1,False
13,828.8328790664673,prey,196.66806817054749,True,26,False
1,854.9357891082764,pred,182.60840106010437,False,15,False
14,879.0267820358276,prey,313.0872149467468,False,11,False
25,881.0373849868774,prey,315.09781789779663,False,11,False
15,883.0419158935547,pred,230.787841796875,False,6,False
2,913.1456270217896,pred,238.80699801445007,False,15,True
5,937.2411530017853,prey,305.0763421058655,False,26,False
21,943.2580089569092,pred,252.88067197799683,True,9,False
9,975.3797199726105,pred,664.3386130332947,False,24,False
20,999.4847099781036,prey,367.3142819404602,False,27,False
11,1007.5037870407104,pred,311.0984151363373,False,9,True
8,1019.5326020717621,prey,307.0935881137848,True,20,False
29,1019.5326020717621,prey,307.0992021560669,False,20,False
