id,simTime,predprey,lifespan,RanW,caughtBy,byRanW
16,22.059895992279053,pred,22.233852863311768,True,1,True
17,46.126840114593506,pred,46.289064168930054,True,1,True
18,72.20616006851196,pred,72.35668301582336,True,1,True
19,100.30043911933899,pred,100.43923115730286,True,1,True
17,106.31934309005737,prey,60.186980962753296,True,24,True
0,124.37821817398071,prey,74.23490905761719,True,21,True
20,126.38674306869507,pred,126.51378011703491,True,1,True
22,154.5006980895996,pred,154.6040380001068,True,1,True
23,184.5670289993286,pred,184.65871286392212,True,1,True
25,216.69079899787903,pred,216.75910305976868,True,1,True
12,230.73721194267273,prey,130.43677282333374,True,24,True
26,248.7858850955963,pred,248.84239101409912,True,1,True
14,250.78946995735168,prey,204.66262984275818,True,21,True
27,280.8840820789337,pred,280.92878699302673,True,1,True
12,315.009840965271,pred,84.26453900337219,True,24,True
7,315.009840965271,prey,66.22395586967468,True,1,True
9,319.0162031650543,prey,218.71576404571533,True,24,True
20,327.0425729751587,prey,78.25668787956238,False,28,True
17,345.108656167984,pred,238.78114414215088,True,24,True
19,353.1276581287384,prey,160.54417204856873,False,14,True
25,355.14059710502625,prey,106.35471200942993,True,7,False
26,367.18087816238403,prey,100.36047601699829,True,29,True
0,371.20342803001404,pred,246.81697392463684,False,21,True
21,399.3123309612274,pred,399.42762899398804,True,1,True
24,429.3934509754181,pred,429.4734489917755,True,1,True
5,447.4404561519623,prey,347.1400170326233,True,9,False
20,459.4900939464569,pred,132.43949699401855,False,28,True
14,491.598984003067,pred,240.80129504203796,True,21,False
3,515.6678750514984,prey,415.3674359321594,True,9,False
28,523.7022111415863,pred,523.7352139949799,True,1,True
18,533.7200939655304,prey,433.4196548461914,True,5,False
19,555.8008961677551,pred,202.66503620147705,True,14,False
25,589.9158020019531,pred,234.76680994033813,False,7,False
12,589.9158020019531,prey,228.74763202667236,True,24,True
11,624.030620098114,prey,68.22972393035889,True,5,False
7,624.030620098114,pred,309.0088951587677,False,1,True
6,626.0372190475464,prey,607.981575012207,True,12,False
29,656.1454200744629,pred,656.1665780544281,True,1,True
26,690.2761509418488,pred,323.0873258113861,False,29,False
10,690.2761509418488,prey,0.0,True,1,True
3,724.3889570236206,pred,208.7128870487213,True,9,False
15,724.3889570236206,prey,686.282322883606,True,1,True
21,730.4056711196899,prey,174.60477495193481,False,5,False
13,732.4117889404297,prey,176.61089277267456,True,5,False
23,748.4647190570831,prey,192.663822889328,True,5,False
17,750.4660301208496,prey,194.66513395309448,True,5,False
9,750.4660301208496,pred,431.44141006469727,False,24,True
25,756.472932100296,prey,166.5516710281372,True,10,True
18,776.5234081745148,pred,242.79509902000427,False,5,False
8,784.5391931533813,prey,575.8882610797882,True,12,False
2,792.5634331703186,prey,607.99640417099,True,12,False
11,800.5923810005188,pred,176.55349802970886,False,5,False
15,826.6856360435486,pred,102.28471994400024,False,1,True
22,834.7148599624634,prey,144.43870902061462,False,10,True
16,836.7233171463013,prey,146.44716620445251,True,10,True
21,850.7686741352081,pred,120.35473918914795,True,5,False
27,852.7812609672546,prey,162.50511002540588,False,10,True
13,874.8610801696777,pred,142.44088506698608,False,5,False
23,900.9658761024475,pred,152.49304795265198,True,5,False
17,929.0346810817719,pred,178.56037306785583,False,5,False
29,931.0460181236267,prey,240.76986718177795,False,5,False
26,933.0532171726227,prey,242.77153420448303,False,16,False
20,933.0532171726227,prey,353.1739501953125,False,6,False
25,953.1250309944153,pred,196.64419603347778,True,10,True
8,979.2051861286163,pred,194.6573350429535,False,12,False
12,1007.2979891300201,pred,417.37044501304626,False,24,True
2,1037.4206161499023,pred,244.84918212890625,True,12,True
10,1069.5076341629028,pred,379.2197780609131,True,1,True
17,1093.5935130119324,prey,164.55339097976685,True,29,False
23,1095.6015350818634,prey,166.56685400009155,False,29,False
27,1099.615040063858,pred,246.82549905776978,False,10,True
0,1109.6424741744995,prey,553.8415780067444,True,6,False
22,1129.6867339611053,pred,294.963613986969,True,10,True
14,1131.7008440494537,prey,575.8999478816986,False,0,True
13,1139.7139570713043,prey,210.67927598953247,False,29,False
21,1143.7268710136414,prey,214.6921899318695,True,29,False
5,1155.7812781333923,pred,708.3322911262512,False,9,False
16,1183.886705160141,pred,347.15507316589355,False,10,True
9,1191.915640115738,prey,262.88095903396606,False,29,False
24,1193.9238820075989,prey,311.021919965744,True,29,False
26,1209.9605240821838,pred,276.8994200229645,False,16,False
20,1238.0742230415344,pred,305.003221988678,True,6,False
17,1268.1671540737152,pred,174.56518697738647,False,29,False
0,1300.2877600193024,pred,190.6369969844818,True,6,False
11,1306.2983360290527,prey,431.437255859375,False,6,False
14,1332.3954391479492,pred,200.68628811836243,False,0,True
3,1338.4153759479523,prey,385.290344953537,False,29,False
1,1352.4601049423218,prey,399.3350739479065,True,21,True
23,1362.5077810287476,pred,266.89798402786255,False,29,False
15,1380.550537109375,prey,48.15509796142578,True,9,False
13,1392.5825779438019,pred,252.85997080802917,False,29,False
24,1424.6801979541779,pred,230.74769401550293,False,29,False
0,1436.7171671390533,prey,136.42398309707642,True,9,False
26,1444.7394051551819,prey,144.45164513587952,True,15,False
29,1454.7443130016327,pred,523.689728975296,False,5,False
12,1462.7705121040344,prey,140.42731595039368,True,15,False
14,1482.8407061100006,prey,150.4395501613617,False,11,False
3,1482.8407061100006,pred,144.41691613197327,False,29,True
1,1512.9730689525604,pred,160.5045108795166,True,21,True
10,1514.9787111282349,prey,385.2919771671295,True,21,True
5,1529.014377117157,prey,196.61893796920776,False,15,False
6,1541.0456459522247,pred,914.9999718666077,False,12,False
8,1555.1116580963135,prey,254.8238980770111,False,15,False
16,1567.143826007843,prey,234.7483868598938,False,15,False
0,1567.143826007843,pred,130.41808199882507,False,9,False
28,1589.2247459888458,prey,509.68922901153564,True,21,True
25,1591.2303240299225,prey,638.0987160205841,False,21,True
26,1591.2303240299225,pred,146.48252606391907,False,15,False
4,1593.23543715477,prey,640.1104061603546,True,21,True
9,1615.3132481575012,pred,423.38941621780396,False,29,True
12,1641.413341999054,pred,178.63433194160461,False,15,False
11,1669.4853420257568,pred,363.17870807647705,False,6,False
14,1699.5829911231995,pred,216.73397016525269,True,11,True
17,1709.6166269779205,prey,196.6435580253601,False,10,False
23,1713.6269800662994,prey,200.653911113739,False,10,False
5,1727.6564681529999,pred,198.63417315483093,True,15,False
24,1739.7187881469727,prey,124.40553998947144,False,23,False
8,1755.7678911685944,pred,200.64819502830505,False,15,False
22,1763.7874240875244,prey,634.0951280593872,True,4,False
27,1771.805319070816,prey,638.1013290882111,True,16,False
28,1781.8442330360413,pred,192.61139297485352,False,21,True
26,1783.8454871177673,prey,56.189018964767456,True,24,False
13,1787.8588409423828,prey,60.202372789382935,False,24,False
25,1805.9273970127106,pred,214.6888449192047,True,21,True
9,1815.9797270298004,prey,80.28133606910706,False,24,False
21,1830.0357480049133,pred,686.3009788990021,True,29,True
3,1842.0898311138153,prey,272.94088912010193,False,27,False
17,1854.1340770721436,pred,144.50883197784424,False,10,False
0,1858.1424670219421,prey,130.48599886894226,False,16,False
14,1876.2026431560516,prey,176.61408114433289,True,15,False
10,1876.2026431560516,pred,361.2150340080261,False,21,True
23,1900.276062965393,pred,186.6407778263092,False,10,False
22,1926.3733830451965,pred,162.57809495925903,True,4,False
19,1944.4398651123047,prey,1388.6335890293121,False,4,False
7,1948.4442219734192,prey,919.0560739040375,True,4,False
26,1950.4570479393005,pred,166.60356378555298,True,24,False
18,1974.5458590984344,prey,1021.4208281040192,False,4,False
13,1974.5458590984344,pred,186.67848205566406,False,24,False
9,2000.6460981369019,pred,184.6578381061554,True,24,False
27,2028.7295880317688,pred,256.91630387306213,False,16,False
12,2042.7791590690613,prey,305.06696009635925,False,16,False
24,2056.827461004257,pred,317.1006360054016,False,23,False
3,2086.899973154068,pred,244.80181312561035,True,27,True
14,2118.9925260543823,pred,242.7815079689026,True,15,False
19,2153.0887989997864,pred,208.64050388336182,False,4,False
28,2153.0887989997864,prey,226.71541595458984,True,21,True
25,2155.0929510593414,prey,325.0572030544281,True,12,False
26,2179.1811261177063,prey,212.66036701202393,True,15,False
4,2183.1881279945374,pred,589.9444119930267,False,21,True
3,2195.2225620746613,prey,108.31691908836365,False,7,False
28,2213.2733800411224,pred,60.17268991470337,False,21,True
22,2225.332545042038,prey,298.95342898368835,False,0,True
6,2241.3949151039124,prey,154.49494194984436,False,3,False
12,2241.3949151039124,pred,198.6072609424591,False,16,False
18,2271.518846988678,pred,296.9647288322449,False,4,False
23,2297.6246571540833,prey,296.9785590171814,False,16,False
25,2301.6501591205597,pred,146.54910111427307,True,12,False
17,2303.6626210212708,prey,303.0165228843689,False,16,False
15,2331.7491250038147,pred,951.1906259059906,False,9,True
7,2363.8628799915314,pred,415.4104280471802,False,4,False
13,2389.953050136566,prey,389.3069519996643,False,16,False
0,2395.9811141490936,pred,537.830372095108,True,16,False
29,2397.9915940761566,prey,885.0185251235962,True,16,False
1,2401.9986629486084,prey,889.0199699401855,False,16,False
22,2426.070326089859,pred,200.72911405563354,False,0,False
6,2458.1851210594177,pred,216.7820119857788,False,3,False
23,2492.3092839717865,pred,194.67671489715576,True,16,False
19,2492.3092839717865,prey,80.29089093208313,False,4,False
17,2526.4043560028076,pred,222.73323798179626,False,16,False
9,2526.4043560028076,prey,0.0,True,24,False
13,2560.527580022812,pred,170.56640887260437,False,16,False
22,2560.527580022812,prey,120.40859794616699,True,0,False
29,2594.6451239585876,pred,196.6451678276062,True,16,False
12,2594.6451239585876,prey,8.025353908538818,False,16,False
28,2610.702224969864,prey,397.4233319759369,False,19,False
15,2616.7128880023956,prey,284.9582588672638,True,26,True
16,2624.740086078644,pred,1057.5876410007477,False,15,False
28,2656.8722610473633,pred,46.1616849899292,True,19,False
7,2668.9075820446014,prey,154.5338909626007,False,19,False
0,2684.962949991226,prey,178.61775088310242,False,19,False
9,2686.9706139564514,pred,160.5544469356537,False,24,False
12,2719.0676670074463,pred,124.4090039730072,True,16,False
11,2751.1765761375427,prey,419.427451133728,True,26,True
22,2751.1765761375427,pred,190.63619303703308,True,0,False
15,2785.290123939514,pred,168.5690529346466,False,26,True
6,2785.290123939514,prey,0.0,False,3,False
24,2797.3215119838715,prey,465.57238698005676,False,1,False
10,2807.3585710525513,prey,848.8735809326172,False,1,False
7,2815.3952219486237,pred,146.47915291786194,False,19,False
18,2839.4795570373535,prey,475.61667704582214,False,6,False
3,2845.501606941223,pred,650.2710318565369,False,7,False
0,2877.6019439697266,pred,192.63039994239807,False,19,False
20,2895.653156042099,prey,1643.5311439037323,True,24,True
26,2909.717437028885,pred,730.5282330513,True,15,False
28,2933.796671152115,prey,182.62009501457214,False,19,False
27,2939.829012155533,prey,728.5595660209656,True,19,False
11,2939.829012155533,pred,188.6441969871521,False,26,True
21,2965.9094700813293,prey,1135.868220090866,True,18,False
6,2969.921123981476,pred,184.61928296089172,False,3,True
18,3002.0056200027466,pred,162.51765990257263,False,6,True
10,3036.1492450237274,pred,228.78228497505188,False,1,False
13,3036.1492450237274,prey,118.40058898925781,True,16,False
0,3050.184798002243,prey,172.57744789123535,True,19,False
4,3064.2173449993134,prey,126.40164685249329,False,19,False
20,3066.2234530448914,pred,170.56181502342224,False,24,True
28,3098.319836139679,pred,164.5146610736847,True,19,False
1,3132.460797071457,pred,730.4541459083557,False,16,False
11,3132.460797071457,prey,192.61729907989502,False,26,True
29,3152.5129101276398,prey,212.68389797210693,True,24,True
5,3158.5345301628113,prey,1187.994477033615,False,27,False
21,3162.549355983734,pred,196.63128399848938,True,18,False
7,3180.6118710041046,prey,226.74845004081726,False,4,False
0,3192.664514064789,pred,142.47051811218262,False,19,False
19,3224.785035133362,pred,732.463935136795,False,4,False
11,3258.8632991313934,pred,126.39027810096741,True,26,True
1,3258.8632991313934,prey,0.0,False,16,False
24,3292.95228600502,pred,495.62264800071716,True,1,True
16,3292.95228600502,prey,473.5416810512543,False,15,False
23,3307.004024028778,prey,658.1631960868835,False,13,False
29,3325.0500750541687,pred,172.52909588813782,True,24,False
17,3327.0524389743805,prey,678.211611032486,False,23,True
20,3353.1918790340424,prey,286.96291995048523,False,1,True
5,3355.2017941474915,pred,196.65883111953735,False,27,False
2,3357.2021050453186,prey,2119.127882003784,False,1,True
14,3371.2322809696198,prey,1252.2340908050537,False,1,True
25,3373.241685152054,prey,724.4008572101593,True,1,True
27,3381.2557351589203,pred,441.4183051586151,False,19,False
4,3409.3599951267242,pred,345.1344771385193,False,19,False
7,3439.4370789527893,pred,258.81695580482483,False,4,False
24,3441.44255900383,prey,60.18682384490967,False,16,False
23,3469.543967962265,pred,162.53178095817566,True,13,False
17,3501.6479921340942,pred,174.58738899230957,True,23,True
20,3535.784996032715,pred,182.5848798751831,False,1,True
26,3535.784996032715,prey,595.955983877182,True,15,False
22,3563.870157957077,prey,778.5800340175629,True,24,False
