id,simTime,predprey,lifespan,RanW,caughtBy,byRanW
16,22.08520007133484,pred,22.268490076065063,True,1,True
17,46.15228199958801,pred,46.322850942611694,True,1,True
18,72.229248046875,pred,72.38736319541931,True,1,True
19,100.31994199752808,pred,100.4655339717865,True,1,True
20,130.39876198768616,pred,130.531986951828,True,1,True
14,158.49065804481506,prey,120.35372710227966,True,21,True
22,160.49150705337524,pred,160.60001611709595,True,1,True
23,192.57646489143372,pred,192.6725640296936,True,1,True
24,226.68811702728271,pred,226.77190113067627,True,1,True
16,226.68811702728271,prey,0.0,False,1,True
25,260.7818720340729,pred,260.85335206985474,True,1,True
24,260.7818720340729,prey,0.0,False,1,True
28,294.89956402778625,pred,294.9340980052948,True,1,True
4,294.89956402778625,prey,148.45037603378296,True,1,True
18,314.9522879123688,prey,190.5693609714508,False,4,False
12,324.9806468486786,prey,58.17097091674805,True,26,True
21,324.9806468486786,pred,325.10152792930603,True,1,True
27,357.0995600223541,pred,357.14642906188965,True,1,True
22,375.14993691444397,prey,214.65292596817017,False,26,True
8,379.15255403518677,prey,186.57608914375305,True,24,False
18,387.16799306869507,pred,72.20728302001953,True,4,False
23,405.24811005592346,prey,124.40020418167114,False,24,False
29,417.2924220561981,pred,417.31445503234863,True,1,True
6,435.36644196510315,prey,397.22951102256775,True,4,False
16,447.40081787109375,pred,220.70055484771729,False,1,True
5,451.4155900478363,prey,156.51602602005005,True,14,False
7,453.42845702171326,prey,198.65870594978333,True,14,False
26,475.5103578567505,pred,475.5695128440857,True,1,True
8,505.5816240310669,pred,126.42052102088928,False,24,False
9,519.6257910728455,prey,425.31213903427124,True,22,True
12,535.6768710613251,pred,210.68777799606323,False,26,True
0,555.7401568889618,prey,495.5540838241577,True,22,True
9,565.7671148777008,pred,46.13305687904358,True,22,True
22,597.8808648586273,pred,222.72261500358582,True,26,True
24,631.9689099788666,pred,371.17487812042236,False,1,True
1,631.9689099788666,prey,337.0693459510803,True,1,True
26,652.0551600456238,prey,128.42348217964172,True,1,True
